"Class: 25, Method: 200, Field: 120 dep:1197"										
Before: cohesion:0.013916 coupling:45.920000 raw_coupling:1148.000000 fit:0.000303 										
Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
1	0.013478337	42.36	0.000318186	47	47	1059	1059	723	2.87	200
2	0.010865638	40.28	0.000269753	29	76	1007	1007	1446	3.11	40200
3	0.013242567	38.56	0.000343428	21	97	964	964	2169	3.3	8040200
4	0.014412259	37.36	0.000385767	15	112	934	934	2892	3.45	1608040200
5	0.015059583	36.32	0.000414636	15	127	908	908	3615	3.59	3.21608E+11
6	0.012980863	35.36	0.000367106	14	141	884	884	4338	3.72	6.43216E+13
7	0.015203608	34.6	0.000439411	8	149	865	865	5061	3.84	1.28643E+16
8	0.017749015	34.08	0.000520804	8	157	852	852	5784	3.95	2.57286E+18
9	0.018871894	33.6	0.000561664	8	165	840	840	6507	4.06	5.14573E+20
10	0.023891395	33.16	0.000720488	7	172	829	829	7230	4.17	1.02915E+23
11	0.011366273	32.92	0.00034527	4	176	823	823	7953	4.28	2.05829E+25
12	0.012143064	32.64	0.00037203	5	181	816	816	8676	4.39	4.11658E+27
13	0.012414456	32.32	0.000384111	6	187	808	808	9399	4.52	8.23317E+29
14	0.01368434	31.88	0.000429245	6	193	797	797	10122	4.64	1.64663E+32
15	0.015074927	31.6	0.000477055	6	199	790	790	10845	4.78	3.29327E+34
16	0.0165957	31.24	0.000531232	4	203	781	781	11568	4.91	6.58653E+36
17	0.017929321	31	0.000578365	4	207	775	775	12291	5.04	1.31731E+39
18	0.017693038	30.8	0.000574449	4	211	770	770	13014	5.17	2.63461E+41
19	0.018371568	30.52	0.000601952	5	216	763	763	13737	5.31	5.26923E+43
20	0.017456773	30.12	0.000579574	7	223	753	753	14460	5.46	1.05385E+46
21	0.022024807	29.64	0.000743077	6	229	741	741	15183	5.63	2.10769E+48
22	0.014594179	29.24	0.000499117	6	235	731	731	15906	5.8	4.21538E+50
23	0.014541216	28.92	0.000502808	5	240	723	723	16629	5.98	8.43076E+52
24	0.014003934	28.6	0.000489648	4	244	715	715	17352	6.16	1.68615E+55
25	0.013694865	28.28	0.00048426	5	249	707	707	18075	6.35	3.3723E+57
26	0.01620952	28	0.000578911	6	255	700	700	18798	6.56	6.74461E+59
27	0.021418873	27.56	0.000777173	7	262	689	689	19521	6.78	1.34892E+62
28	0.027675859	26.92	0.001028078	8	270	673	673	20244	7.02	2.69784E+64
29	0.027333927	26.2	0.00104328	7	277	655	655	20967	7.27	5.39569E+66
30	0.039705349	25.48	0.001558295	9	286	637	637	21690	7.55	1.07914E+69
31	0.014592512	24.36	0.000599036	11	297	609	609	22413	7.86	2.15828E+71
32	0.052619542	23.44	0.002244861	7	304	586	586	23136	8.16	4.31655E+73
33	0.003244335	22.68	0.000143048	5	309	567	567	23859	8.47	8.6331E+75
34	0.003256948	22.2	0.000146709	4	313	555	555	24582	8.78	1.72662E+78
35	0.006499969	21.76	0.000298712	4	317	544	544	25305	9.1	3.45324E+80
36	0.006472275	21.28	0.000304148	2	319	532	532	26028	9.41	6.90648E+82
