Class: 25, Method: 200, Field: 120 dep:1197
Before: cohesion:0.013916 coupling:45.920000 raw_coupling:1148.000000 fit:0.000303 
Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
1	0.0164645736	41.4000000000	0.0003976950	175	175	828	1035	1	0.34	200
2	0.0102566517	38.6000000000	0.0002657164	126	301	573	965	2	0.56	40200
3	0.0293037866	36.2400000000	0.0008086034	102	403	347	906	3	0.76	8040200
4	0.0116242209	34.1200000000	0.0003406864	77	480	162	853	4	0.95	1608040200
5	0.0558988888	33.2000000000	0.0016837015	63	543	34	830	5	1.12	321608040200
6	0.0124271322	31.9200000000	0.0003893212	52	595	-84	798	6	1.30	64321608040200
7	0.0166099366	31.6800000000	0.0005243036	49	644	-182	792	7	1.48	12864321608040200
8	0.0113763413	30.3600000000	0.0003747148	52	696	-308	759	8	1.69	2572864321608040200
9	0.0115031504	29.8400000000	0.0003854943	47	743	-414	746	9	1.90	514572864321608040200
10	0.0146387056	28.8400000000	0.0005075834	41	784	-523	721	10	2.11	102914572864321608040200
11	0.0162035814	28.8000000000	0.0005626244	38	822	-602	720	11	2.33	20582914572864321608040200
12	0.0064188908	27.8400000000	0.0002305636	34	856	-691	696	12	2.55	4116582914572864321608040200
13	0.0085192088	27.6000000000	0.0003086670	31	887	-753	690	13	2.77	823316582914572864321608040200
14	0.0084478525	26.7200000000	0.0003161621	24	911	-818	668	14	2.99	164663316582914572864321608040200
15	0.0087498947	26.1200000000	0.0003349883	17	928	-863	653	15	3.22	32932663316582914572864321608040200
16	0.0090071436	25.8000000000	0.0003491141	16	944	-903	645	16	3.45	6586532663316582914572864321608040200
17	0.0089750074	25.2400000000	0.0003555867	14	958	-939	631	17	3.71	1317306532663316582914572864321608040200
18	0.0091845540	24.8000000000	0.0003703449	10	968	-962	620	18	3.95	263461306532663316582914572864321608040200
19	0.0089655364	24.5600000000	0.0003650463	9	977	-978	614	19	4.19	52692261306532663316582914572864321608040200
20	0.0090636106	24.5200000000	0.0003696415	7	984	-993	613	20	4.43	10538452261306532663316582914572864321608040200
21	0.0082199199	24.4400000000	0.0003363306	11	995	-1015	611	21	4.68	2107690452261306532663316582914572864321608040200
22	0.0082799342	24.0800000000	0.0003438511	10	1005	-1040	602	22	4.94	421538090452261306532663316582914572864321608040200
23	0.0075862724	23.7200000000	0.0003198260	9	1014	-1059	593	23	5.21	84307618090452261306532663316582914572864321608040200
24	0.0073607696	22.6000000000	0.0003256978	10	1024	-1081	565	24	5.49	16861523618090452261306532663316582914572864321608040200
25	0.0066542953	22.2000000000	0.0002997430	5	1029	-1089	555	25	5.79	3372304723618090452261306532663316582914572864321608040200
26	0.0182335811	21.6400000000	0.0008425869	5	1034	-1097	541	26	6.08	674460944723618090452261306532663316582914572864321608040200
27	0.0043415369	21.4800000000	0.0002021200	2	1036	-1101	537	27	6.39	134892188944723618090452261306532663316582914572864321608040200
28	0.0065028446	21.3200000000	0.0003050115	1	1037	-1105	533	28	6.69	26978437788944723618090452261306532663316582914572864321608040200
29	0.0064722753	21.2800000000	0.0003041483	1	1038	-1106	532	29	7.01	5395687557788944723618090452261306532663316582914572864321608040200
