"Class: 25, Method: 200, Field: 120 dep:1197"										
Before: cohesion:0.013916 coupling:45.920000 raw_coupling:1148.000000 fit:0.000303 										
Iter	MSC	MPC	Fit	Refactoring #	Ref Accumulated #	expected coupling	actual coupling	search space	elapsed time	exhaustive space
1	0.014128555	45.76	0.000308753	1	1	1144	1144	200	0.19	200
2	0.013679568	45.6	0.000299991	1	2	1140	1140	400	0.33	40200
3	0.01357014	45.44	0.000298639	1	3	1136	1136	600	0.46	8040200
4	0.01219977	45.32	0.000269192	1	4	1133	1133	800	0.59	1608040200
5	0.012633558	45.2	0.000279504	1	5	1130	1130	1000	0.72	3.21608E+11
6	0.012660735	45.08	0.00028085	1	6	1127	1127	1200	0.85	6.43216E+13
7	0.013536925	44.96	0.000301088	1	7	1124	1124	1400	0.98	1.28643E+16
8	0.013467634	44.84	0.000300349	1	8	1121	1121	1600	1.11	2.57286E+18
9	0.012993883	44.72	0.000290561	1	9	1118	1118	1800	1.23	5.14573E+20
10	0.013107954	44.56	0.000294164	1	10	1114	1114	2000	1.36	1.02915E+23
11	0.013034636	44.44	0.000293309	1	11	1111	1111	2200	1.48	2.05829E+25
12	0.012814744	44.32	0.000289141	1	12	1108	1108	2400	1.6	4.11658E+27
13	0.013332108	44.2	0.000301631	1	13	1105	1105	2600	1.72	8.23317E+29
14	0.013563471	44.08	0.000307701	1	14	1102	1102	2800	1.84	1.64663E+32
15	0.01340502	43.96	0.000304937	1	15	1099	1099	3000	1.96	3.29327E+34
16	0.013454056	43.84	0.00030689	1	16	1096	1096	3200	2.08	6.58653E+36
17	0.013519712	43.72	0.000309234	1	17	1093	1093	3400	2.21	1.31731E+39
18	0.013250426	43.6	0.000303909	1	18	1090	1090	3600	2.32	2.63461E+41
19	0.013086859	43.48	0.000300986	1	19	1087	1087	3800	2.44	5.26923E+43
20	0.013387195	43.36	0.000308745	1	20	1084	1084	4000	2.57	1.05385E+46
21	0.013256604	43.24	0.000306582	1	21	1081	1081	4200	2.68	2.10769E+48
22	0.01324284	43.12	0.000307116	1	22	1078	1078	4400	2.8	4.21538E+50
23	0.013290895	43	0.000309091	1	23	1075	1075	4600	2.91	8.43076E+52
24	0.013076918	42.88	0.000304965	1	24	1072	1072	4800	3.02	1.68615E+55
25	0.01301471	42.8	0.000304082	1	25	1070	1070	5000	3.14	3.3723E+57
